Number of Elements,CPU Time (ms),GPU Time (ms)
16,0.00152,0.36974
32,0.00134,0.06468
64,0.0014,0.05752
128,0.00234,0.06424
256,0.0025,0.06382
512,0.00286,0.065
1024,0.0041,0.06118
2048,0.0067,0.06392
4096,0.01182,0.06372
8192,0.02286,0.06404
16384,0.04506,0.08632
32768,0.1092,0.14902
65536,0.19458,0.19304
131072,0.43908,0.2901
262144,1.02472,0.47402
524288,2.10532,0.7228
1048576,4.81306,1.12854
2097152,8.79236,1.88482
4194304,17.1939,3.46812
8388608,36.5806,6.54546
16777216,67.5265,27.2694
33554432,139.809,31.1819
67108864,270.42,38.885
134217728,556.299,78.6466
268435456,1094.67,147.471
