Number of Elements,CPU Time (ms),GPU Time (ms)
16,0.00144,0.61376
32,0.00138,0.26058
64,0.00162,0.25924
128,0.0017,0.29044
256,0.00192,0.26434
512,0.00248,0.2763
1024,0.004,0.91766
2048,0.00636,0.28018
4096,0.01338,0.29902
8192,0.02322,0.27988
16384,0.04954,0.31122
32768,0.09818,0.41032
65536,0.1873,0.50258
131072,0.44716,0.67638
262144,1.01202,1.04248
524288,2.35582,1.64176
1048576,4.6395,2.77914
2097152,9.01574,5.18562
4194304,17.8101,9.96266
8388608,36.1459,19.3387
16777216,74.9593,92.9225
33554432,137.418,103.603
67108864,274.008,135.953
134217728,550.609,274.998
268435456,1096.29,548.058
