Number of Elements,CPU Time (ms),GPU Time (ms)
16,0.00294,0.48416
32,0.00338,0.06428
64,0.00578,0.06308
128,0.01246,0.05978
256,0.0278,0.05906
512,0.0692,0.06112
1024,0.12768,0.06672
2048,0.21384,0.0613
4096,0.47046,0.06568
8192,1.05424,0.24548
16384,1.98064,0.235
32768,4.16592,0.24598
65536,8.39438,0.28994
131072,16.491,0.36812
262144,33.3283,1.02516
524288,65.1332,1.31402
1048576,130.922,1.94524
2097152,268.263,3.11312
4194304,535.45,5.41598
8388608,1102.89,54.0236
16777216,2255.49,107.827
33554432,4598.38,180.291
67108864,9344.32,231.541
134217728,19172.7,144.871
268435456,38631.2,322.364
